Localidade;Variável;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Abadia de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);330.195,67;726.987,76;566.675,99;625.422,82;682.545,53;887.641,14;1.304.629;2.409.683;3.396.983;0;3.101.003
Abadiânia;Financiamentos à Pecuária - Custeio - Valor (R$);8.037.554,05;10.224.774,03;8.207.670,93;5.867.364,20;12.149.754,18;4.823.481,46;7.001.505;13.228.345;14.931.771;1.247.010;10.357.766
Acreúna;Financiamentos à Pecuária - Custeio - Valor (R$);14.383.002,58;13.631.427,66;7.261.516,43;6.932.883,38;8.259.436,29;7.065.726,58;6.453.869;6.836.953;14.942.521;4.326.823;8.627.573
Adelândia;Financiamentos à Pecuária - Custeio - Valor (R$);2.602.870,67;2.437.096,08;1.676.603,53;1.438.599,15;2.389.589,90;2.218.052,03;3.459.716;4.529.872;10.477.717;1.956.258;9.923.722
Água Fria de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);2.488.538,70;3.674.710,53;1.416.654,80;874.106,93;9.283.948,96;4.196.060,34;5.588.390;1.512.845;5.446.464;2.065.800;9.611.876
Água Limpa;Financiamentos à Pecuária - Custeio - Valor (R$);6.230.670,51;6.545.564,97;6.902.699,44;6.512.622,13;6.918.863,78;9.057.960,49;10.561.636;12.179.950;11.971.855;7.063.437;25.725.169
Águas Lindas de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);19.526,40;19.526,40;186.639,31;639.760,35;17.315,13;240.000,00;-;-;-;-;496.440
Alexânia;Financiamentos à Pecuária - Custeio - Valor (R$);3.911.909,02;3.802.564,57;4.398.177,42;5.505.638,98;5.542.004,81;3.422.205,42;4.892.776;11.095.078;18.885.971;1.554.520;10.043.363
Aloândia;Financiamentos à Pecuária - Custeio - Valor (R$);1.654.575,26;1.544.892,14;2.291.292,82;1.743.459,16;3.403.865,33;2.423.760,94;2.283.361;7.554.189;5.328.966;4.585.950;5.615.039
Alto Horizonte;Financiamentos à Pecuária - Custeio - Valor (R$);5.701.834,54;4.462.831,07;6.526.401,07;4.785.263,38;6.292.594,86;6.222.370,20;6.960.098;4.740.519;9.301.153;2.735.416;14.007.676
Alto Paraíso de Goiás;Financiamentos à Pecuária - Custeio - Valor (R$);4.955.360,80;1.567.599,52;3.108.927,07;3.150.460,23;4.828.289,14;3.029.624,69;1.617.169;1.078.852;2.208.344;797.000;1.508.568
Alvorada do Norte;Financiamentos à Pecuária - Custeio - Valor (R$);2.543.073,33;1.374.137,63;4.081.043,04;3.192.671,76;5.140.749,59;5.506.015,57;6.791.533;10.334.351;12.073.425;1.902.307;20.773.469
Amaralina;Financiamentos à Pecuária - Custeio - Valor (R$);6.413.959,98;7.980.277,14;10.914.654,11;7.244.227,45;16.925.056,07;10.676.003,63;15.936.350;21.936.593;46.353.870;11.230.178;68.121.200
Americano do Brasil;Financiamentos à Pecuária - Custeio - Valor (R$);1.359.364,62;1.420.529,70;1.376.607,86;1.320.392,39;1.706.536,71;1.618.583,02;5.359.034;3.021.210;8.462.656;104.000;15.153.760
Amorinópolis;Financiamentos à Pecuária - Custeio - Valor (R$);4.871.583,18;3.173.215,06;3.560.320,95;8.248.271,81;7.345.070,26;9.870.930,17;8.406.617;11.568.284;14.595.159;8.665.760;23.898.658
Anápolis;Financiamentos à Pecuária - Custeio - Valor (R$);15.873.995,34;14.978.232,07;9.002.389,72;8.529.228,85;9.457.391,65;6.351.028,63;8.061.063;16.120.608;17.858.228;1.220.000;14.484.022
Anhanguera;Financiamentos à Pecuária - Custeio - Valor (R$);861.562,05;927.422,20;1.230.854,38;1.027.649,33;1.183.219,90;2.118.776,40;1.827.531;1.217.253;2.163.896;60.000;2.279.255
